BBL,EUI_2013,floorArea_2013,EUI_2014,floorArea_2014,EUI_2015,floorArea_2015,EUI_2016,floorArea_2016,TYPE_2016,Borough,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,XCoord,YCoord,ZipCode,Address,Longitude,Latitude
1000167513,48.2,509831.0,138.1,562340.0,21.7,562340.0,55.3,562340.0,Hotel,MN,46266,523677,294617,229060,0,0,38.0,115,117,2003,979391.0,196336.0,10004.0,10 LITTLE WEST STREET,-74.0175252153,40.705572354
1000167514,109.6,456414.0,84.2,434680.0,82.2,434680.0,80.3,434680.0,Multifamily Housing,MN,20763,344863,2856,342007,0,2856,35.0,233,234,2006,979510.0,196575.0,10004.0,30 LITTLE WEST STREET,-74.0170961799,40.7062284172
1000167515,70.3,297200.0,93.1,287819.0,79.5,287819.0,72.0,287819.0,Multifamily Housing,MN,34776,251430,29421,222009,0,0,23.0,285,288,1985,979816.0,197742.0,10280.0,225 RECTOR PLACE,-74.0159932709,40.7094317148
1000167520,59.7,446186.0,81.5,425407.0,73.3,425407.0,70.5,425407.0,Multifamily Housing,MN,32218,377325,79700,297625,0,14536,32.0,280,281,2008,980160.0,200125.0,10282.0,200 NORTH END AVENUE,-74.0147539236,40.7159726477
1000170029,66.3,325672.0,71.3,325515.0,70.5,325515.0,70.2,325515.0,Multifamily Housing,MN,23902,325515,1000,324514,0,1000,27.0,397,399,1969,980133.0,197247.0,10006.0,90 WASHINGTON STREET,-74.0148495612,40.7080732102
1000187501,54.6,365666.0,60.5,366993.0,91.5,366993.0,115.3,366993.0,Multifamily Housing,MN,24470,366124,50183,315941,0,50183,38.0,452,453,1956,980344.0,197175.0,10006.0,88 GREENWICH STREET,-74.0140884659,40.7078756829
1000187501,87.1,366124.0,60.5,366993.0,91.5,366993.0,115.3,366993.0,Multifamily Housing,MN,24470,366124,50183,315941,0,50183,38.0,452,453,1956,980344.0,197175.0,10006.0,88 GREENWICH STREET,-74.0140884659,40.7078756829
1000200001,73.1,300954.0,85.9,316150.0,80.2,316150.0,79.4,316150.0,Office,MN,14490,316150,316150,0,316150,0,30.0,0,43,1931,980480.0,196545.0,10006.0,29 BROADWAY,-74.0135975778,40.7061465407
1000200009,91.8,368305.0,103.7,368315.0,94.5,368315.0,98.6,368315.0,Office,MN,15529,368315,368315,0,364483,3832,33.0,0,36,1983,980572.0,196689.0,10006.0,45 BROADWAY,-74.0132658323,40.7065418254
1000200016,78.2,363378.0,78.0,309381.0,79.3,309381.0,77.9,309381.0,Office,MN,15722,309381,309381,0,298081,11300,31.0,0,41,1983,980639.0,196803.0,10006.0,55 BROADWAY,-74.0130242374,40.7068547561
