,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
15,1000297501,-74.0104089943,40.7049556454,97,61238,42,1.08502029172,0.0,0.849801369232,91.9,84.6988767869,67.4859292035,49.170764382,112.624561109,0.815985421789,46.2332282086,0.0,44.9136160717,0.930350004134,91.9,0.950502856756,0.0,0.890075686683
16,1022410014,-73.9218999676,40.8682055454,81,50583,52,0.974038890829,0.393563522255,1.57916233512,82.5,84.6988767869,67.4859292035,49.170764382,134.823756783,0.611909962817,72.2695731892,0.367512894126,36.0067758799,2.15650019208,82.5,0.792974426823,0.38053820819,1.8678312636
17,1000397501,-74.0072459897,40.7057738278,61,90163,122,1.42268710721,1.02673254733,0.187386203628,120.5,84.6988767869,67.4859292035,49.170764382,127.897942811,0.942157452667,54.4475460377,1.27260097181,48.3919997563,0.190401779497,120.5,1.18242227994,1.14966675957,0.188893991563
18,1000420022,-74.008194764,40.7073629825,15,387000,289,1.22049188438,0.862590367194,1.05769136516,108.7,89.0624521073,50.5918007663,48.4111372627,98.3047380084,1.10574527945,26.3550774102,1.65584791578,45.3171333386,1.12990469803,108.7,1.16311858191,1.25921914149,1.0937980316
19,3087207512,-73.9575046595,40.5763331124,15,157188,112,0.968135624824,0.359926880857,1.28270720249,82.0,84.6988767869,67.4859292035,49.170764382,84.6086829557,0.969167668559,50.6003529932,0.480036176887,68.0621081278,0.926678519951,82.0,0.968651646692,0.419981528872,1.10469286122
20,1004737502,-73.9997330386,40.7209718002,127,55693,13,1.12634315376,0.576268274868,0.82554050736,95.4,84.6988767869,67.4859292035,49.170764382,103.289662047,0.923616150052,46.2198172183,0.841413972201,42.298754885,0.959660819463,95.4,1.02497965191,0.708841123534,0.892600663412
21,1019457504,-73.9545006724,40.806165103,11,153526,93,1.19245973301,0.528702803993,1.0776164929,101.0,84.6988767869,67.4859292035,49.170764382,126.545032787,0.79813484398,48.4124099424,0.737001112782,39.8722840356,1.32892378624,101.0,0.995297288497,0.632851958388,1.20327013957
22,1022500084,-73.9186449504,40.8719772528,51,78130,76,1.11099466215,0.505735053259,0.0478030389963,94.1,84.6988767869,67.4859292035,49.170764382,139.033649618,0.676814571572,70.8253253409,0.481889773689,36.7288064373,0.0639964157627,94.1,0.893904616859,0.493812413474,0.0558997273795
23,1000760024,-74.0057422231,40.7087245337,8,62028,57,0.757979355045,0.371929382854,0.830993433421,64.2,84.6988767869,67.4859292035,49.170764382,133.376610532,0.481343765926,45.6819568357,0.549451068619,48.091233589,0.849647207367,64.2,0.619661560486,0.460690225736,0.840320320394
24,3072440058,-73.9613472777,40.5859083408,62,85680,60,0.931535375593,0.475210171639,1.05881074865,78.9,84.6988767869,67.4859292035,49.170764382,84.8355007732,0.930035177266,55.917814827,0.573520265396,65.6369833161,0.793189010473,78.9,0.930785276429,0.524365218518,0.925999879561
25,1016220020,-73.944218253,40.8000316128,17,96446,81,1.36601575356,1.81534138221,1.39125674201,115.7,84.6988767869,67.4859292035,49.170764382,133.586162879,0.866107667937,59.9728040172,2.04275924742,43.1848605576,1.58410045958,115.7,1.11606171075,1.92905031482,1.48767860079
26,1001327503,-74.0104249565,40.7147736606,16,49402,12,0.961051705618,0.283318318732,0.793953352415,81.4,84.6988767869,67.4859292035,49.170764382,128.240259616,0.634746063708,39.0196373358,0.490009679881,45.2387659532,0.862961055619,81.4,0.797898884663,0.386663999306,0.828457204017
27,1001367502,-74.008531138,40.7146832394,117,65635,25,0.750895435839,0.819726432649,0.45989107527,63.6,84.6988767869,67.4859292035,49.170764382,105.729584888,0.601534566388,43.760745976,1.26414664024,42.5085108812,0.531968663092,63.6,0.676215001113,1.04193653644,0.495929869181
28,4033290054,-73.8321860811,40.7065245652,93,54300,54,0.809928095889,0.436535442983,1.23091170141,68.6,84.6988767869,67.4859292035,49.170764382,83.2111258076,0.824408987791,95.7964001124,0.307527213606,65.1537898168,0.928953932152,68.6,0.81716854184,0.372031328294,1.07993281678
29,1009290001,-73.9795542659,40.7377486767,47,927591,522,0.692772302358,0.75012154984,1.00628335499,61.7,89.0624521073,50.5918007663,48.4111372627,6.49794340186,9.49531200631,-24.2617740478,-1.56418899645,33.494750161,1.45441662915,61.7,5.09404215433,-0.407033723307,1.23034999207
30,1001427501,-74.0121169126,40.7156271156,11,770447,388,1.26315857399,0.99344160988,0.8344540215,112.5,89.0624521073,50.5918007663,48.4111372627,28.0963194371,4.00408317723,-29.2590826584,-1.71775720335,33.9451224619,1.19006399872,112.5,2.63362087561,-0.362157796737,1.01225901011
31,1001430001,-74.0093575916,40.7174910653,87,77630,45,0.729643678221,0.617017510041,0.656719220617,61.8,84.6988767869,67.4859292035,49.170764382,113.522586361,0.544385060112,43.4664172543,0.957980957032,43.3079092242,0.745623297005,61.8,0.637014369167,0.787499233537,0.701171258811
